RevTotal1,RevTotal2,RevTotal3,RevTotal4,RevTotal5,AssetsTotal1,AssetsTotal2,AssetsTotal3,AssetsTotal4,AssetsTotal5,RevTotal6?
49697,49910,45753,54077,49966,519220,541728,504564,540993,581488,
68374,65353,69069,73319,73106,524064,492536,462095,419247,385136,
212080,197472,199117,230596,274406,1700750,1560426,1458982,1389143,175373,
1602482,1601041,1632459,1631154,1640817,5779454,5441431,5114508,4768608,4690520,
81979,81475,81319,79464,82921,508544,485955,462306,413064,374069,
299883,325543,330455,297272,292563,77366,110283,85862,66976,87174,
331514,357377,369164,403416,424680,2822805,2783649,2748604,2763967,2790794,
1124377,1121487,1102290,1229542,1185237,1745077,1783402,1666073,1690198,1580194,
365872,373491,371344,373936,396180,2264923,2218696,2191230,2113061,2078166,
1135153,201728,1267675,1201813,1399093,13294954,13122874,13133338,13183105,14899327,
115837,120908,117776,121768,135105,754339,711120,629179,556821,493047,
274712,273872,245165,240126,217108,41952,43214,50913,50833,49244,
1140226,1302394,1190695,1207210,1245346,3499384,3323962,3109172,3026068,2834826,
13391,80738,16942,66064,16807,795338,828697,836045,899988,705618,
408535,408211,405245,406338,399611,3193853,3019990,2854488,2681630,2522688,
3955805,5105193,5429326,5468986,-89257,1341082,1767614,1619255,713265,0,
125736,118791,115063,101001,84041,972807,944132,849379,847411,782016,
510878,624154,794471,820763,901318,2259074,2154990,2171012,2269776,2414254,
152796,237288,231317,263975,230476,411475,403629,423755,425751,431532,
235763,206792,224379,228518,367148,1362584,1285986,1214756,1171582,1182424,
718866,745745,742063,760541,725356,3917135,3742252,3552792,3313126,3141608,
160910,50168,274009,307185,353634,1871102,1749449,1728626,2000619,1800667,
111662,115980,110986,117082,131132,665334,625988,548801,498273,453345,
196519,199009,216379,476868,510870,906278,858956,812565,772194,0,
761350,753073,742951,800914,784473,4852926,4924352,4870970,4701097,4533374,
952869,960393,1137106,969991,951096,7698481,7582120,7619299,7430560,7324737,
768700,985132,596812,318783,538153,5789476,6645087,24483623,4650246,4524402,
991653,1079509,1102864,1117261,1070313,3487319,3471317,3379364,3337415,3233630,
235469,233070,271404,211960,303199,1193597,1146706,1103841,1020190,982267,
1194523,1478876,1622821,2023077,2176611,181821,116429,195735,319434,456670,
272933,255689,268430,284001,276708,1592421,1481360,1387523,1256944,1186193,
500066,435409,481689,575269,429182,1145569,1068498,1036438,1019591,821505,
576332,433648,641062,528937,534239,2266011,2116360,2037485,1751805,1963630,
1558436,1435198,1054107,1041143,1086361,4692224,4998906,4567909,4423410,3800754,
702317,704170,1281810,2226273,1813646,10018732,9331267,9384744,10162453,9626917,
434289,440040,482171,597218,794774,2351244,2269421,2207881,2148699,2260181,
10198707,10415253,10749701,10556314,10514363,45859444,46159526,46521443,46051268,44374468,
5342241,4706403,4105155,3413723,1403734,2548208,2243136,1728244,1609567,0,
736425,459986,611396,348760,365256,146819,128424,139116,190584,276811,
395875,426912,424920,533987,499198,1392939,1343795,1296313,1332307,1299996,
102620,130693,151526,162842,147529,731064,836157,760635,740773,686773,
200905,235157,250747,284362,282251,433498,445151,457397,544789,641567,
3417,33,1355,3297,5288,1065742,1059500,1054505,1962665,1963603,
720595,718494,721547,778310,787830,4420941,4396251,4316673,4275335,4255652,
3726472,3505618,3283938,3277267,3612224,917183,1042267,619996,632913,784110,
338985,320592,264570,267971,256312,548952,594214,651550,671859,757495,
1139401,1147611,1163180,1316199,761424,13153915,13229879,2183945,2091386,0,
1466945,1423091,1516800,1532381,1636894,6856641,6857266,6602224,6574523,6354559,
634593,1011380,997273,1006903,1637361,3107284,3207654,3383738,3528870,3759795,
309574,300485,298370,298587,294928,2296672,2310149,2308976,2347228,2375781,
24276510,28960531,24782805,30159358,21105622,189569187,197605539,208438543,177958175,172180125,
1078827,1039486,1254057,1064381,1398710,2626215,2840756,2539503,2319850,2265366,
559217,577306,638098,666469,676015,2821672,2727577,2649193,2571127,2622935,
313901,451795,264023,564074,295565,1323191,1222805,1161681,1430769,1408021,
807809,799587,792780,997413,1057207,4566265,4378912,4081720,3987683,3930820,
340335,310111,277909,300584,3036617,1754957,1604452,1513423,1274184,0,
19286455,21712222,22711550,22751459,21108224,12716385,13735384,16651712,18197756,23609740,
865874,845246,934377,1102775,453102,2091810,2464343,2843052,3455211,3161294,
89874,101846,91492,71924,28517,2409896,2400084,2491576,2563500,2592017,
2660322,1958810,1531816,1443636,1014814,7514093,5799383,4982908,3606765,2320292,
7027442,10690359,9241637,8968108,10713943,13877566,17430967,16481191,18599484,18912207,
7873116,179320,192166,201318,210915,4107847,4287167,4479333,4680651,4823753,
178625,203618,217202,216880,208343,76943,130954,78342,118130,55488,
1041831,1053184,1298819,1288110,1278614,3333308,3251512,3480108,3668406,3783899,
14842,11735,13723,12979,13832,541582,483223,444914,388486,331172,
677765,715581,767821,795306,798407,4750066,4419068,4243258,4097030,3590802,
640220,646731,653188,691437,708075,747534,706208,757015,492807,424677,
1193066,1197829,1197985,1202656,2634295,5649839,5466896,4908887,4635193,4808548,
80899,80218,79790,81439,83840,723853,684514,649195,615571,581808,
3586208,1453451,1764765,1281848,593793,2259354,1843280,2114300,2372031,2240433,
736359,747619,759488,784137,788713,11506576,11200391,11020538,10780080,10527030,
83295,83244,84447,83287,83310,720242,732482,770580,780691,782799,
-16335,39945,39513,229756,35089,4083320,3305862,2124938,2019243,1846677,
1543717,1571202,1524937,1524937,561296,0,0,0,0,0,
157904,156571,160883,157418,151066,4366444,4205677,4078869,3960828,3793014,
24749372,25222583,26832134,27146459,28560553,282989356,263120595,243525827,234450414,229515666,
61406,63213,61907,62494,61790,958190,941840,917661,909328,556161,
1789929,2233158,2090822,1940882,5941615,39818,52380,68026,625046,1905962,
-329080,-131529,2022379,1898461,1909960,3716947,2712752,2591043,2375541,2151240,
477900,537259,484168,503895,454500,101597,150833,93854,98571,211030,
479867,498956,520729,536335,591956,1295366,1221533,1135841,1085043,1782,
0,0,185868,375572,77576,3097803,3097803,6233388,6608960,6686536,
755683,537465,734538,783315,841936,9297507,9824972,10549510,10860134,11696070,
-49988,58069,63675,-10924,-60593,1392498,1302389,1309184,1276821,1195385,
247495,204804,246303,737464,260793,6377424,6353042,6353015,6738480,6590376,
1730541,2555876,3190957,3566850,3203328,11753151,16052002,16393466,17708762,17917189,
541267,202258,202258,202258,202258,6257065,6459548,6661531,6863514,7065497,
1959133,2051869,2175896,2060838,2312455,25367593,25056161,25208596,24583043,26961563,
1465447,1485726,1511295,1513247,1547417,7629157,7036201,6872831,6595011,6377035,
4052149,2298971,5083434,2441421,2414429,4709960,4932241,4272618,2818475,2557549,
1828143,1738499,1823482,1919438,2325940,7386173,6710949,5899901,5075235,4467648,
1462503,1430633,1481736,1484825,1456661,4522986,4059182,3943371,3826567,3618855,
2630992,4560291,3673835,3814693,3660005,6679756,9756932,10457086,10451473,17655094,
558299,592206,666936,631815,674975,1663364,1545433,1580577,1459454,1413419,
66475,177545,117717,65704,65971,670061,792971,857871,851015,852143,
3067137,2761219,2506330,2548645,2570530,7567829,7992024,7683513,7385308,6711624,
2759165,2580722,2572705,2603997,2626086,5747029,5510462,5343636,5301805,5321641,
42784016,42983933,44596220,50216998,48638926,16757691,18725706,17689689,21668548,24943891,
7735155,7872897,8003992,8106514,8436565,15874136,15315458,15137512,14554388,14595955,
1317911,1425117,1706279,1504703,1549705,685938,614520,839727,699815,797782,
