275643,285279,291760,303326,300768,5.13E+05
436387,309519,1615747,77545,60272,9.01E+05
64003,67398,71175,75525,79318,3.40E+05
868956,866319,1179961,1120251,1109419,1.40E+06
188040,522489,530550,581365,602744,5.77E+05
321258,326958,328758,333662,329285,5.13E+05
3387607,3044069,2801999,3072555,2909865,2.84E+06
489020,501654,483441,472224,555165,5.13E+05
1874151,1688949,1943209,2334277,2034133,2.16E+06
175265,180605,190576,201641,213513,5.13E+05
94539,96220,99171,74658,51193,3.40E+05
291298,361547,342934,419637,348810,5.13E+05
212000,292763,305592,297577,222182,5.13E+05
497609,500230,497252,501972,665741,5.49E+05
321329,330495,319680,328396,337154,5.13E+05
236382,242159,244206,254621,260809,5.13E+05
573452,597229,613625,640298,659377,6.60E+05
920689,920952,939441,922284,899497,9.01E+05
1183707,1093836,1216504,5620895,383135,1.40E+06
180818,196150,229882,234561,237140,5.13E+05
2195950,2460190,3011857,1950066,1974270,2.03E+06
323880,265104,279434,258410,163359,5.13E+05
3883944,3902872,3890336,53700134,28215,3.58E+07
4493250,5006123,5224817,5937291,7188276,5.13E+06
265923,259666,257974,274135,276192,5.13E+05
593105,597338,599751,635324,640313,6.60E+05
1370918,1088826,1366494,1440354,1454363,1.40E+06
1556484,1635900,1623873,1637796,1718076,2.03E+06
0,0,0,0,68778,3.40E+05
597287,445681,487409,444967,517743,5.13E+05
39621152,55352818,181779157,53548072,46318158,5.08E+07
2723917,2751906,2944109,3167556,3794581,2.73E+06
515784,539869,549994,557730,583649,5.49E+05
3693363,3986049,3983304,4291062,4131444,9.37E+06
1041241,1146975,1187484,1185042,1191832,1.40E+06
1826029,1826566,1868619,2208187,2284816,2.16E+06
2416872,349227,256690,277078,292699,5.13E+05
6201979,9430486,5675492,4234157,4191872,5.13E+06
1023446,1176790,1286542,1323684,1334848,1.40E+06
1096993,1097368,1285066,1305752,1093294,1.40E+06
50810,56505,51680,40617,28517,3.40E+05
0,0,0,2,0,3.40E+05
1228290,1855303,1645837,1627073,1713898,2.03E+06
866020,866166,1119062,1277502,1275686,1.40E+06
72435,75529,74603,73932,78900,3.40E+05
17928875,17594801,16237307,17473028,17782634,1.32E+07
13488,27478,24431,33943,25787,3.40E+05
0,0,0,0,0,3.40E+05
95043,129279,76632,90864,33422,3.40E+05
90362,91395,94233,105383,101527,3.40E+05
546652,560937,565381,563538,692116,6.60E+05
312550,1605,521,127,10001,3.40E+05
